Numéro CAS;Nom SA;Source;Date;Nom;valeur;Unite;Etude(s) pivot(s) 1;NOAEL de l'Ètude pivot 1;Unité NOAEL étude pivot 1;Etude(s) pivot(s) 2;Facteur de sécurité;F.correction (abs. orale lim.)
122008-85-9;cyhalofop butyl;UE;01/07/2017;AOEL;0,013;mg/kg/j;90 jours, voie orale, rat et chien;3;mg/kg p.c./j;90 jours, voie orale, souris;100;43%
57966-95-7;cymoxanil;UE;01/09/2009;ARFD;0,08;mg/kg pc;TÈratogenËse, voie orale, lapin;8;mg/kg p.c./j;;100;non nécessaire
57966-95-7;cymoxanil;UE;01/09/2009;AOEL;0,01;mg/kg/j;1 an, voie orale, chien;1,3;mg/kg p.c./j;;100;75%
57966-95-7;cymoxanil;UE;01/09/2009;DJA;0,013;mg/kg/j;1 an, voie orale, chien;1,3;mg/kg p.c./j;;100;non nécessaire
52315-07-8;cypermethrine;UE;01/02/2022;AAOEL;0,0025;mg/kg pc;NeurotoxicitÈ du dÈveloppement, rat;15;mg/kg/p.c./j;;3000;50%
52315-07-8;cypermethrine;UE;01/02/2022;DJA;0,005;mg/kg/j;2 ans, voie orale, rat;0,5;mg/kg p.c./j;SupportÈe par la NOAEL de l'Ètude de neurotoxicitÈ du dÈveloppement;100;non nécessaire
52315-07-8;cypermethrine;UE;01/02/2022;ARFD;0,005;mg/kg pc;NeurotoxicitÈ du dÈveloppement, rat;15;mg/kg p.c./j;;3000;non nécessaire
52315-07-8;cypermethrine;UE;01/02/2022;AOEL;0,0025;mg/kg/j;NeurotoxicitÈ du dÈveloppement, rat;15;mg/kg p.c./j;;3000;50%
121552-61-2;cyprodinil;UE;04/04/2006;ARFD;non pertinent;;;;;;;non nécessaire
121552-61-2;cyprodinil;UE;04/04/2006;DJA;0,03;mg/kg/j;2 ans, voie orale, rat;3;mg/kg p.c./j;;100;non nécessaire
121552-61-2;cyprodinil;UE;04/04/2006;AOEL;0,03;mg/kg/j;90 jours, voie orale, rat;3;mg/kg p.c./j;;100;non nécessaire
221667-31-8;cyprosulfamide;CES_PHYTO;24/05/2011;AOEL;0,39;mg/kg/j;2 ans, voie orale, rat;39;mg/kg p.c./j;;100;non nécessaire
221667-31-8;cyprosulfamide;CES_PHYTO;24/05/2011;DJA;0,39;mg/kg/j;2 ans, voie orale, rat;39;mg/kg p.c./j;;100;non nécessaire
221667-31-8;cyprosulfamide;CES_PHYTO;24/05/2011;ARFD;non pertinent;;;;;;;non nécessaire
1596-84-5;daminozide;UE;15/02/2005;ARFD;non pertinent;;;;;;;non nécessaire
1596-84-5;daminozide;UE;15/02/2005;DJA;0,45;mg/kg/j;18 mois, voie orale, souris;45;mg/kg p.c./j;;100;non nécessaire
1596-84-5;daminozide;UE;15/02/2005;AOEL;0,16;mg/kg/j;18 mois, voie orale, souris;45;mg/kg p.c./j;;100;35%
533-74-4;dazomet;UE;01/06/2011;ARFD;0,03;mg/kg pc;TÈratogenËse, voie orale, rat;3;mg/kg p.c./j;;100;non nécessaire
533-74-4;dazomet;UE;01/06/2011;DJA;0,01;mg/kg/j;2 ans, voie orale, rat;0,9;mg/kg p.c./j;;100;non nécessaire
533-74-4;dazomet;UE;01/06/2011;AOEL;0,015;mg/kg/j;90 jours, voie orale, rat;1,5;mg/kg p.c./j;;100;non nécessaire
52918-63-5;deltamethrine;UE;18/10/2002;AOEL;0,0075;mg/kg/j;90 jours et 1 an, voie orale, chien;1;mg/kg p.c./j;;100;75%
52918-63-5;deltamethrine;UE;18/10/2002;DJA;0,01;mg/kg/j;90 jours et 1 an, voie orale, chien;1;mg/kg p.c./j;;100;non nécessaire
52918-63-5;deltamethrine;UE;18/10/2002;ARFD;0,01;mg/kg pc;90 jours et 1 an, voie orale, chien;1;mg/kg p.c./j;;100;non nécessaire
1918-00-9;dicamba;UE;01/01/2013;DJA;0,3;mg/kg/j;Reproduction sur deux gÈnÈrations, rat;35;mg/kg p.c./j;;100;non nécessaire
1918-00-9;dicamba;UE;01/01/2013;ARFD;0,3;mg/kg pc;TÈratogenËse, voie orale, lapin;30;mg/kg p.c./j;;100;non nécessaire
1918-00-9;dicamba;UE;01/01/2013;AOEL;0,3;mg/kg/j;TÈratogenËse, voie orale, lapin;30;mg/kg p.c./j;;100;non nécessaire
15165-67-0;dichlorprop-P;UE;23/05/2006;ARFD;0,5;mg/kg pc;TÈratogenËse, voie orale, lapin;50;mg/kg p.c./j;;100;non nécessaire
15165-67-0;dichlorprop-P;UE;23/05/2006;AOEL;0,35;mg/kg/j;90 jours, voie orale, rat;35;mg/kg p.c./j;;100;non nécessaire
15165-67-0;dichlorprop-P;UE;23/05/2006;DJA;0,06;mg/kg/j;18 mois, voie orale, souris;6;mg/kg p.c./j;;100;non nécessaire
51338-27-3;diclofop methyl;UE;01/06/2011;AOEL;0,003;mg/kg/j;TÈratogenËse, voie orale, lapin;0,3;mg/kg p.c./j;;100;non nécessaire
51338-27-3;diclofop methyl;UE;01/06/2011;ARFD;0,03;mg/kg pc;TÈratogenËse, voie orale, lapin;3;mg/kg p.c./j;;100;non nécessaire
51338-27-3;diclofop methyl;UE;01/06/2011;DJA;0,001;mg/kg/j;2 ans, voie orale, rat;0,2;mg/kg p.c./j;;200;non nécessaire
119446-68-3;difenoconazole;UE;01/01/2009;DJA;0,01;mg/kg/j;2 ans, voie orale, rat;20;mg/kg p.c./j;;100;non nécessaire
119446-68-3;difenoconazole;UE;05/12/2011;ARFD;0,16;mg/kg pc;TÈratogenËse, voie orale, rat;20;mg/kg p.c./j;;100;non nécessaire
119446-68-3;difenoconazole;UE;05/12/2011;AOEL;0,16;mg/kg/j;TÈratogenËse, voie orale, rat;20;mg/kg p.c./j;;100;non nécessaire
83164-33-4;diflufenican;UE;30/06/2008;DJA;0,2;mg/kg/j;2 ans, voie orale, rat;23,3;mg/kg p.c./j;90 jours, voie orale, rat;100;non nécessaire
83164-33-4;diflufenican;UE;30/06/2008;ARFD;non pertinent;;;;;;;non nécessaire
83164-33-4;diflufenican;UE;30/06/2008;AOEL;0,11;mg/kg/j;90 jours, voie orale, rat;18,5;mg/kg p.c./j;;100;58%
50563-36-5;dimethachlore;UE;01/01/2010;AOEL;0,1;mg/kg/j;90 jours, voie orale, chien;10;mg/kg p.c./j;;100;non nécessaire
50563-36-5;dimethachlore;UE;01/01/2010;ARFD;0,5;mg/kg pc;TÈratogenËse, voie orale, rat;50;mg/kg/p.c./j;;100;non nécessaire
50563-36-5;dimethachlore;UE;01/01/2010;DJA;0,1;mg/kg/j;2 ans, voie orale, rat;11,1;mg/kg p.c./j;90 jours, voie orale,  chien;100;non nécessaire
163515-14-8;Dimethenamid-P;UE;01/09/2019;DJA;0,04;mg/kg/j;90 jours, voie orale, chien;4,3;mg/kg p.c./j;2 ans, voie orale, rat;100;non nécessaire
163515-14-8;Dimethenamid-P;UE;01/09/2019;AAOEL;0,08;mg/kg pc;TÈratogenËse, voie orale, rat;25;mg/kg/p.c./j;;300;non nécessaire
163515-14-8;Dimethenamid-P;UE;01/09/2019;AOEL;0,04;mg/kg/j;90 jours, voie orale, chien;4,3;mg/kg p.c./j;;100;non nécessaire
163515-14-8;Dimethenamid-P;UE;01/09/2019;ARFD;0,08;mg/kg pc;TÈratogenËse, voie orale, rat;25;mg/kg p.c./j;;300;non nécessaire
110488-70-5;dimethomorphe;UE;23/04/2007;DJA;0,05;mg/kg/j;1 an, voie orale, chien;5;mg/kg p.c./j;;100;non nécessaire
110488-70-5;dimethomorphe;UE;23/04/2007;ARFD;0,6;mg/kg pc;TÈratogenËse, voie orale, rat;60;mg/kg/p.c./j;;100;non nécessaire
110488-70-5;dimethomorphe;UE;23/04/2007;AOEL;0,15;mg/kg/j;90 jours, voie orale, chien;15;mg/kg p.c./j;90 jours, voie orale, rat;100;non nécessaire
149961-52-4;dimoxystrobine;UE;25/05/2023;ARFD;0,04;mg/kg pc;Autre(s) Ètude(s);4;mg/kg p.c./j;7 jours, voie orale, rat;100;non nécessaire
149961-52-4;dimoxystrobine;UE;25/05/2023;AOEL;0,007;mg/kg/j;Reproduction sur deux gÈnÈrations, rat;1,5;mg/kg p.c./j;;100;46%
149961-52-4;dimoxystrobine;UE;25/05/2023;AAOEL;0,018;mg/kg pc;Autre(s) Ètude(s);4;mg/kg/p.c./j;7 jours, voie orale rat;100;46%
149961-52-4;dimoxystrobine;UE;25/05/2023;DJA;0,015;mg/kg/j;Reproduction sur une gÈnÈration, rat;1,5;mg/kg p.c./j;;100;non nécessaire
13708-85-5 ou (130184-07-5 ou 16926-95-7);disodium phosphonate;UE;23/03/2018;AOEL;2;mg/kg/j;TÈratogenËse, voie orale, lapin;275;mg/kg p.c./j;;100;70%
13708-85-5 ou (130184-07-5 ou 16926-95-7);disodium phosphonate;UE;23/03/2018;DJA;2,25;mg/kg/j;2 ans, voie orale, rat;224,47;mg/kg p.c./j;;100;non nécessaire
13708-85-5 ou (130184-07-5 ou 16926-95-7);disodium phosphonate;UE;23/03/2018;ARFD;non pertinent;;;;;;;non nécessaire
3347-22-6;dithianon;UE;01/06/2011;ARFD;0,12;mg/kg pc;28 jours, voie orale, rat;12;mg/kg p.c./j;7 jours, voie orale, rat (Ètudes mÈcanistiques sur la toxicitÈ rÈnale);100;non nécessaire
3347-22-6;dithianon;UE;01/06/2005;AOEL;0,0135;mg/kg/j;90 jours, voie orale, chien;3;mg/kg p.c./j;;100;45%
3347-22-6;dithianon;UE;01/06/2011;DJA;0,01;mg/kg/j;2 ans, voie orale, rat;1;mg/kg p.c./j;;100;non nécessaire
2439-10-3†;doguadine;UE;01/02/2011;DJA;0,1;mg/kg/j;90 jours et 1 an, voie orale, chien;10;mg/kg p.c./j;;100;non nécessaire
2439-10-3†;doguadine;UE;01/02/2011;AOEL;0,045;mg/kg/j;90 jours, voie orale, rat;10;mg/kg p.c./j;1 an, voie orale, chien;100;45%
2439-10-3†;doguadine;UE;01/02/2011;ARFD;0,1;mg/kg pc;TÈratogenËse, voie orale, rat;10;mg/kg p.c./j;;100;non nécessaire
155569-91-8;emamectine benzoate;UE;01/01/2013;DJA;0,0005;mg/kg/j;2 ans, voie orale, rat;0,25;mg/kg p.c./j;1 an, voie orale, chien;500;non nécessaire
155569-91-8;emamectine benzoate;UE;01/01/2013;ARFD;0,01;mg/kg pc;NeurotoxicitÈ, voie orale, rat, aigue;5;mg/kg p.c./j;;500;non nécessaire
155569-91-8;emamectine benzoate;UE;01/01/2013;AOEL;0,0003;mg/kg/j;90 jours et 1 an, voie orale, chien;0,25;mg/kg p.c./j;;500;55%
66230-04-4;esfenvalerate;UE;01/01/2016;DJA;0,0175;mg/kg/j;NeurotoxicitÈ, voie orale, rat, aigue;1,75;mg/kg p.c./j;;100;non nécessaire
66230-04-4;esfenvalerate;UE;01/01/2016;AOEL;0,011;mg/kg/j;NeurotoxicitÈ, voie orale, rat, aigue;1,75;mg/kg p.c./j;;100;64%
66230-04-4;esfenvalerate;UE;01/01/2016;ARFD;0,0175;mg/kg pc;NeurotoxicitÈ, voie orale, rat, aigue;1,75;mg/kg p.c./j;;100;non nécessaire
16672-87-0;ethephon;UE;21/11/2023;AOEL;0,02;mg/kg/j;90 jours, voie orale, chien;2;mg/kg p.c./j;et 2 ans, chien;100;non nécessaire
16672-87-0;ethephon;UE;21/11/2023;AAOEL;0,05;mg/kg pc;Autre(s) Ètude(s);0,5;mg/kg/p.c./j;Ètude sur volontaires sains;10;non nécessaire
16672-87-0;ethephon;UE;21/11/2023;DJA;0,02;mg/kg/j;90 jours, voie orale, chien;2;mg/kg p.c./j;et 2 ans, chien;100;non nécessaire
16672-87-0;ethephon;UE;21/11/2023;ARFD;0,05;mg/kg pc;Autre(s) Ètude(s);0,5;mg/kg p.c./j;Ètude sur volontaires sains;10;non nécessaire
26225-79-6;ethofumesate;UE;01/11/2016;ARFD;non pertinent;;;;;;;non nécessaire
26225-79-6;ethofumesate;UE;01/11/2016;DJA;1;mg/kg/j;2 ans, voie orale, rat;101;mg/kg p.c./j;1 an, voie orale, chien;100;non nécessaire
26225-79-6;ethofumesate;UE;01/11/2016;AOEL;2,5;mg/kg/j;90 jours, voie orale, chien;250;mg/kg p.c./j;;100;non nécessaire
26225-79-6;ethofumesate;UE;01/11/2016;AAOEL;non pertinent;;;;;;;non nécessaire
80844-07-1;etofenprox;UE;19/12/2008;ARFD;1;mg/kg pc;TÈratogenËse, voie orale, lapin;100;mg/kg p.c./j;;100;non nécessaire
80844-07-1;etofenprox;UE;19/12/2008;AOEL;0,06;mg/kg/j;90 jours, voie orale, rat;20;mg/kg p.c./j;;100;30%
80844-07-1;etofenprox;UE;19/12/2008;DJA;0,03;mg/kg/j;2 ans et 18 mois, voie orale, rat et souris;3,1;mg/kg p.c./j;;100;non nécessaire
153233-91-1;etoxazole;UE;23/10/2020;DJA;0,04;mg/kg/j;2 ans, voie orale, rat;4;mg/kg p.c./j;;100;non nécessaire
153233-91-1;etoxazole;UE;23/10/2020;AAOEL;non pertinent;;;;;;;non nécessaire
153233-91-1;etoxazole;UE;23/10/2020;ARFD;non pertinent;;;;;;;non nécessaire
153233-91-1;etoxazole;UE;23/10/2020;AOEL;0,03;mg/kg/j;90 jours, voie orale, chien;5;mg/kg p.c./j;1 an, voie orale, chien;100;52%
8000-78-0 ou 8008-99-9;extrait d'ail;UE;01/03/2021;AAOEL;non pertinent;;;;;;;non nécessaire
8000-78-0 ou 8008-99-9;extrait d'ail;UE;01/09/2009;DJA;non pertinent;;;;;;;non nécessaire
8000-78-0 ou 8008-99-9;extrait d'ail;UE;01/09/2009;AOEL;non pertinent;;;;;;;non nécessaire
8000-78-0 ou 8008-99-9;extrait d'ail;UE;01/09/2009;ARFD;non pertinent;;;;;;;non nécessaire
131807-57-3;famoxadone;UE;06/07/2021;DJA;0,006;mg/kg/j;1 an, voie orale, chien;1,2;mg/kg p.c./j;;200;non nécessaire
131807-57-3;famoxadone;UE;06/07/2021;AAOEL;non fixÈe par manque de donnÈes;;;;;;;non nécessaire
131807-57-3;famoxadone;UE;06/07/2021;ARFD;0,1;mg/kg pc;90 jours, voie orale, chien;10;mg/kg p.c./j;;100;non nécessaire
131807-57-3;famoxadone;UE;06/07/2021;AOEL;0,0024;mg/kg/j;1 an, voie orale, chien;1,2;mg/kg p.c./j;;500;40%
90989-74-5;Farine de sang (Blood meal);UE;01/04/2021;DJA;non pertinent;;;;;;;non nécessaire
90989-74-5;Farine de sang (Blood meal);UE;01/04/2021;ARFD;non pertinent;;;;;;;non nécessaire
90989-74-5;Farine de sang (Blood meal);UE;01/04/2021;AOEL;non pertinent;;;;;;;non nécessaire
120928-09-8;fenazaquin;UE;01/06/2011;DJA;0,005;mg/kg/j;2 ans, voie orale, rat;0,46;mg/kg p.c./j;;100;non nécessaire
120928-09-8;fenazaquin;UE;01/06/2011;AOEL;0,01;mg/kg/j;1 an, voie orale, chien;5;mg/kg p.c./j;;100;20%
120928-09-8;fenazaquin;UE;01/06/2011;ARFD;0,1;mg/kg pc;TÈratogenËse, voie orale, rat;10;mg/kg p.c./j;;100;non nécessaire
126833-17-8;fenhexamid;UE;01/01/2016;DJA;0,2;mg/kg/j;1 an, voie orale, chien;19,2;mg/kg p.c./j;;100;non nécessaire
126833-17-8;fenhexamid;UE;01/01/2016;ARFD;non pertinent;;;;;;;non nécessaire
126833-17-8;fenhexamid;UE;01/01/2016;AOEL;0,2;mg/kg/j;1 an, voie orale, chien;19,2;mg/kg p.c./j;;100;non nécessaire
71283-80-2;fenoxaprop-P-ethyl;UE;01/01/2009;ARFD;0,1;mg/kg pc;TÈratogenËse, voie orale, rat;10;mg/kg p.c./j;;100;non nécessaire
71283-80-2;fenoxaprop-P-ethyl;UE;01/01/2009;DJA;0,01;mg/kg/j;2 ans, voie orale, chien;0,9;mg/kg/p.c./j;MultigÈnÈrations, voie orale, rat;100;non nécessaire
71283-80-2;fenoxaprop-P-ethyl;UE;01/01/2009;AOEL;0,014;mg/kg/j;Etude multigÈnÈrations,voie orale, rat;1,4;mg/kg p.c./j;;100;non nécessaire
517875-34-2;fenpicoxamide;UE;11/10/2018;DJA;0,05;mg/kg/j;18 mois, voie orale, souris;5,27;mg/kg/p.c./j;;100;non nécessaire
517875-34-2;fenpicoxamide;UE;11/10/2018;AAOEL;0,2;mg/kg pc;TÈratogenËse, voie orale, lapin;177;mg/kg/p.c./j;;100;12%
517875-34-2;fenpicoxamide;UE;11/10/2018;AOEL;0,05;mg/kg/j;90 jours, voie orale, souris;39,6;mg/kg/p.c./j;;100;12%
517875-34-2;fenpicoxamide;UE;11/10/2018;ARFD;1,8;mg/kg pc;TÈratogenËse, voie orale, lapin;177;mg/kg/p.c./j;;100;non nécessaire
67306-00-7;fenpropidine;UE;01/09/2008;ARFD;0,02;mg/kg pc;1 an, voie orale, chien;2;mg/kg p.c./j;28 jours, voie orale, chien;100;non nécessaire
67306-00-7;fenpropidine;UE;01/09/2009;AOEL;0,02;mg/kg/j;1 an, voie orale, chien;2;mg/kg p.c./j;;100;non nécessaire
67306-00-7;fenpropidine;UE;01/09/2008;DJA;0,02;mg/kg/j;2 ans, voie orale, rat;2;mg/kg p.c./j;1 an, voie orale, chien;100;non nécessaire
473798-59-3;fenpyrazamine;UE;01/01/2013;AOEL;0,2;mg/kg/j;Reproduction sur deux gÈnÈrations, rat;20,3;mg/kg/p.c./j;" 90 jours et 1 an, voie orale,  chien ; 90 jours, voie orale, souris ; Repro 1G, rat";100;non nécessaire
473798-59-3;fenpyrazamine;UE;01/01/2013;ARFD;0,3;mg/kg pc;TÈratogenËse, voie orale, lapin;30;mg/kg/p.c./j;;100;non nécessaire
473798-59-3;fenpyrazamine;UE;01/01/2013;DJA;0,13;mg/kg/j;2 ans, voie orale, rat;12,7;mg/kg/p.c./j;;100;non nécessaire
134098-61-6;fenpyroximate;UE;01/05/2009;ARFD;0,02;mg/kg pc;Autre(s) Ètude(s);2;mg/kg p.c./j;Ètude mecanistique 1 et 5 jours, voie orale, chien;100;non nécessaire
134098-61-6;fenpyroximate;UE;01/05/2009;DJA;0,01;mg/kg/j;2 ans, voie orale, rat;0,97;mg/kg p.c./j;;100;non nécessaire
134098-61-6;fenpyroximate;UE;01/05/2009;AOEL;0,005;mg/kg/j;Autre(s) Ètude(s);0,54;mg/kg p.c./j;28 jours, inhalation, rat;100;non nécessaire
104040-78-0;flazasulfuron;UE;01/08/2017;AAOEL;1;mg/kg pc;TÈratogenËse, voie orale, rat;100;mg/kg/p.c./j;;100;non nécessaire
104040-78-0;flazasulfuron;UE;01/08/2017;ARFD;1;mg/kg pc;TÈratogenËse, voie orale, rat;100;mg/kg/p.c./j;;100;non nécessaire
104040-78-0;flazasulfuron;UE;01/08/2017;AAOEL;1;mg/kg pc;Reproduction sur une gÈnÈration, rat;100;mg/kg/p.c./j;;100;non nécessaire
104040-78-0;flazasulfuron;UE;01/08/2017;DJA;0,013;mg/kg/j;2 ans, voie orale, rat;1,3;mg/kg p.c./j;;100;non nécessaire
104040-78-0;flazasulfuron;UE;01/08/2017;AOEL;0,02;mg/kg/j;90 jours et 1 an, voie orale, chien;2;mg/kg p.c./j;;100;non nécessaire
158062-67-0;flonicamid;UE;01/09/2010;DJA;0,025;mg/kg/j;TÈratogenËse, voie orale, lapin;2,5;mg/kg/p.c./j;;100;non nécessaire
158062-67-0;flonicamid;UE;01/09/2010;ARFD;0,025;mg/kg pc;TÈratogenËse, voie orale, lapin;2,5;mg/kg/p.c./j;;100;non nécessaire
158062-67-0;flonicamid;UE;01/09/2010;AOEL;0,025;mg/kg/j;TÈratogenËse, voie orale, lapin;2,5;mg/kg/p.c./j;;100;non nécessaire
145701-23-1;florasulam;UE;01/01/2016;DJA;0,05;mg/kg/j;1 an, voie orale, chien;5;mg/kg p.c./j;;100;non nécessaire
145701-23-1;florasulam;UE;01/01/2016;AOEL;0,05;mg/kg/j;90 jours, voie orale, chien;5;mg/kg p.c./j;;100;non nécessaire
145701-23-1;florasulam;UE;01/01/2016;ARFD;non pertinent;;;;;;;non nécessaire
"	1390661-72-9";Florpyrauxifene-benzyl;UE;24/07/2019;DJA;0,5;mg/kg/j;2 ans, voie orale, rat;50;mg/kg/p.c./j;;100;non nécessaire
"	1390661-72-9";Florpyrauxifene-benzyl;UE;24/07/2019;ARFD;non pertinent;;;;;;;non nécessaire
"	1390661-72-9";Florpyrauxifene-benzyl;UE;24/07/2019;AOEL;0,13;mg/kg/j;2 ans, voie orale, rat;50;mg/kg/p.c./j;;100;25%
"	1390661-72-9";Florpyrauxifene-benzyl;UE;24/07/2019;AAOEL;non pertinent;;;;;;;non nécessaire
79241-46-6;fluazifop P butyl;UE;01/01/2012;DJA;0,01;mg/kg/j;2 ans, voie orale, rat;1;mg/kg p.c./j;;100;non nécessaire
79241-46-6;fluazifop P butyl;UE;01/01/2012;ARFD;0,017;mg/kg pc;TÈratogenËse, voie orale, rat;2;mg/kg p.c./j;;100;non nécessaire
79241-46-6;fluazifop P butyl;UE;01/01/2012;AOEL;0,02;mg/kg/j;TÈratogenËse, voie orale, rat;2;mg/kg p.c./j;;100;non nécessaire
79622-59-6;fluazinam;UE;27/11/2008;DJA;0,01;mg/kg/j;2 ans, voie orale, souris;1;mg/kg p.c./j;1 an, voie orale, chien;100;non nécessaire
79622-59-6;fluazinam;UE;27/11/2008;AOEL;0,004;mg/kg/j;1 an, voie orale, chien;1;mg/kg p.c./j;TÈratogenËse, voie orale, lapin;100;35%
79622-59-6;fluazinam;UE;27/11/2008;ARFD;0,07;mg/kg pc;TÈratogenËse, voie orale, lapin;7;mg/kg/p.c./j;;100;non nécessaire
131341-86-1;fludioxonyl;UE;20/12/2007;ARFD;non pertinent;;;;;;;non nécessaire
131341-86-1;fludioxonyl;UE;20/12/2007;DJA;0,37;mg/kg/j;2 ans, voie orale, rat;37;mg/kg/p.c./j;;100;non nécessaire
131341-86-1;fludioxonyl;UE;20/12/2007;AOEL;0,59;mg/kg/j;90 jours, voie orale, chien;58,5;mg/kg p.c./j;;100;non nécessaire
142459-58-3;flufenacet;UE;04/07/2003;AOEL;0,017;mg/kg/j;90 jours et 1 an, voie orale, chien;1,67;mg/kg p.c./j;;100;non nécessaire
142459-58-3;flufenacet;UE;04/07/2003;DJA;0,005;mg/kg/j;2 ans, voie orale, rat;1,2;mg/kg p.c./j;;250;non nécessaire
142459-58-3;flufenacet;UE;04/07/2003;ARFD;0,017;mg/kg pc;90 jours et 1 an, voie orale, chien;1,67;mg/kg p.c./j;;100;non nécessaire
103361-09-7;flumioxazine;UE;22/10/2021;AAOEL;0,03;mg/kg pc;TÈratogenËse, voie orale, rat;3;mg/kg/p.c./j;RÈfÈrence: JMPR, FAO 2015;100;non nécessaire
103361-09-7;flumioxazine;UE;22/10/2021;DJA;0,0018;mg/kg/j;2 ans, voie orale, rat;1,8;mg/kg p.c./j;;100;non nécessaire
103361-09-7;flumioxazine;UE;22/10/2021;ARFD;0,03;mg/kg pc;TÈratogenËse, voie orale, rat;3;mg/kg p.c./j;RÈfÈrence: JMPR, FAO 2015;100;non nécessaire
103361-09-7;flumioxazine;UE;22/10/2021;AOEL;0,022;mg/kg/j;90 jours, voie orale, rat;2,2;mg/kg p.c./j;;100;non nécessaire
239110-15-7 ;fluopicolide;UE;22/10/2019;AOEL;0,05;mg/kg/j;90 jours, voie orale, rat;7,4;mg/kg p.c./j;;100;62%
239110-15-7 ;fluopicolide;UE;22/10/2019;DJA;0,08;mg/kg/j;2 ans et 18 mois, voie orale, rat et souris;7,9;mg/kg p.c./j;;100;non nécessaire
239110-15-7 ;fluopicolide;UE;22/10/2019;ARFD;0,18;mg/kg pc;28 jours, voie orale, rat;17,7;mg/kg p.c./j;TÈratogenËse, voie orale, lapin;100;non nécessaire
658066-35-4;fluopyram;UE;01/02/2014;DJA;0,012;mg/kg/j;2 ans, voie orale, rat;1,2;mg/kg/p.c./j;;100;non nécessaire
658066-35-4;fluopyram;UE;01/02/2014;AOEL;0,05;mg/kg/j;90 jours, voie orale, souris;5,4;mg/kg/p.c./j;;100;non nécessaire
658066-35-4;fluopyram;UE;01/02/2014;ARFD;0,5;mg/kg pc;NeurotoxicitÈ, voie orale, rat, aigue;50;mg/kg/p.c./j;;100;non nécessaire
2699-79-8;fluorure de sulfuryle;UE;01/11/2010;DJA;0,014;mg/kg/j;Autre(s) Ètude(s);1,4;mg/kg p.c./j;2 ans, inhalation, rat;100;non nécessaire
2699-79-8;fluorure de sulfuryle;UE;01/01/2010;ARFD;0,7;mg/kg pc;Autre(s) Ètude(s);68;mg/kg p.c./j;NeurotoxicitÈ, inhalation, rat, aigue;100;non nécessaire
2699-79-8;fluorure de sulfuryle;UE;01/01/2010;AOEC;1;ppm;90 jours, inhalation, souris;30;ppm;AOEC opÈrateur, alignÈe sur l'Èvaluation biocide;100;non nécessaire
2699-79-8;fluorure de sulfuryle;UE;01/01/2010;AOEC;3;ppm;Autre(s) Ètude(s);300;ppm;"AOEC personnes prÈsentes ; NeurotoxicitÈ, inhalation, rat, aigue";100;non nécessaire
361377-29-9;fluoxastrobine;UE;13/06/2007;DJA;0,015;mg/kg/j;1 an, voie orale, chien;1,5;mg/kg p.c./j;;100;non nécessaire
361377-29-9;fluoxastrobine;UE;13/06/2007;ARFD;0,3;mg/kg pc;90 jours et 1 an, voie orale, chien;30;mg/kg p.c./j;;100;non nécessaire
361377-29-9;fluoxastrobine;UE;13/06/2007;AOEL;0,03;mg/kg/j;90 jours et 1 an, voie orale, chien;3;mg/kg p.c./j;;100;non nécessaire
61213-25-0;flurochloridone;UE;01/06/2011;AOEL;0,04;mg/kg/j;TÈratogenËse, voie orale, rat;20;mg/kg p.c./j;;500;non nécessaire
61213-25-0;flurochloridone;UE;01/06/2011;ARFD;0,04;mg/kg pc;TÈratogenËse, voie orale, rat;20;mg/kg p.c./j;;500;non nécessaire
61213-25-0;flurochloridone;UE;01/06/2011;DJA;0,04;mg/kg/j;2 ans, voie orale, rat;3,9;mg/kg p.c./j;;100;non nécessaire
69377-81-7;fluroxypyr;UE;01/01/2012;AOEL;0,8;mg/kg/j;90 jours, voie orale, rat;80;mg/kg p.c./j;90 jours, voie orale, souris;100;non nécessaire
69377-81-7;fluroxypyr;UE;01/01/2012;ARFD;non pertinent;;;;;;;non nécessaire
69377-81-7;fluroxypyr;UE;01/01/2012;DJA;0,8;mg/kg/j;2 ans, voie orale, rat;80;mg/kg p.c./j;;100;non nécessaire
81406-37-3;fluroxypyr : methylheptyl ester;UE;01/01/2012;AOEL;0,8;mg/kg/j;90 jours, voie orale, rat;80;mg/kg p.c./j;90 jours, voie orale, souris;100;90%
81406-37-3;fluroxypyr : methylheptyl ester;UE;01/01/2012;ARFD;non pertinent;;;;;;;non nécessaire
81406-37-3;fluroxypyr : methylheptyl ester;UE;01/01/2012;DJA;0,8;mg/kg/j;2 ans, voie orale, rat;80;mg/kg p.c./j;;100;non nécessaire
958647-10-4;Flutianil;UE;14/04/2019;ARFD;1;mg/kg pc;TÈratogenËse, voie orale, rat;100;mg/kg/p.c./j;;100;non nécessaire
958647-10-4;Flutianil;UE;14/04/2019;DJA;0,82;mg/kg/j;2 ans, voie orale, rat;81,9;mg/kg/p.c./j;;100;non nécessaire
958647-10-4;Flutianil;UE;14/04/2019;AOEL;0,05;mg/kg/j;TÈratogenËse, voie orale, rat;100;mg/kg/p.c./j;correction par l'absorption orale de 5%;100;5%
66332-96-5;flutolanil;UE;27/11/2008;DJA;0,09;mg/kg/j;2 ans, voie orale, rat;8,7;mg/kg p.c./j;;100;non nécessaire
66332-96-5;flutolanil;UE;27/11/2008;ARFD;non pertinent;;;;;;;non nécessaire
