Numero CAS;NOM SA;CLASSEMENT DATE;CLASSEMENT CATÉGORIE DANGER;CLASSEMENT CODE H;CLASSEMENT MENTION DANGER
533-74-4;dazomet;16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
533-74-4;dazomet;16/12/2008;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
52918-63-5;deltamethrine;10/08/2009;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
52918-63-5;deltamethrine;10/08/2009;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
52918-63-5;deltamethrine;10/08/2009;Toxicité aiguë (par inhalation), catégorie 3;H331;Toxique par inhalation
52918-63-5;deltamethrine;10/08/2009;Toxicité aiguë (par voie orale), catégorie 3;H301;Toxique en cas d'ingestion
1918-00-9;dicamba;16/12/2008;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves
1918-00-9;dicamba;16/12/2008;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
1918-00-9;dicamba;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;H412;Nocif pour les organismes aquatiques, entraine des effets néfastes à long terme
15165-67-0;dichlorprop-P;31/12/2008;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
15165-67-0;dichlorprop-P;31/12/2008;Irritant pour la peau, catégorie 2;H315;Provoque une irritation cutanée
15165-67-0;dichlorprop-P;31/12/2008;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves
15165-67-0;dichlorprop-P;31/12/2008;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
51338-27-3;diclofop methyl;16/12/2008;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
51338-27-3;diclofop methyl;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
51338-27-3;diclofop methyl;16/12/2008;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
51338-27-3;diclofop methyl;16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
119446-68-3;difenoconazole;19/10/2023;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer
119446-68-3;difenoconazole;19/10/2023;Irritation oculaire, catégorie 2;H319;Provoque une sévère irritation des yeux
119446-68-3;difenoconazole;19/10/2023;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
119446-68-3;difenoconazole;19/10/2023;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
119446-68-3;difenoconazole;19/10/2023;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
83164-33-4;diflufenican;11/03/2021;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
83164-33-4;diflufenican;11/03/2021;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
50563-36-5;dimethachlore;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
50563-36-5;dimethachlore;16/12/2008;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
50563-36-5;dimethachlore;16/12/2008;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
50563-36-5;dimethachlore;16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
163515-14-8;Dimethenamid-P;24/07/2015;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
163515-14-8;Dimethenamid-P;24/07/2015;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
163515-14-8;Dimethenamid-P;24/07/2015;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
163515-14-8;Dimethenamid-P;24/07/2015;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
110488-70-5;dimethomorphe;11/03/2021;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme
110488-70-5;dimethomorphe;11/03/2021;Toxicité pour la reproduction, catégorie 1B(F);H360F;Peut nuire à la fertilité
149961-52-4;dimoxystrobine;16/02/2022;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus
149961-52-4;dimoxystrobine;16/02/2022;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer
149961-52-4;dimoxystrobine;16/02/2022;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
149961-52-4;dimoxystrobine;16/02/2022;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
149961-52-4;dimoxystrobine;16/02/2022;Toxicité aiguë (par inhalation), catégorie 4;H332;Nocif par inhalation
13708-85-5 ou 130184-07-5 ou 16926-95-7;disodium phosphonate;15/07/2009;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;H412;Nocif pour les organismes aquatiques, entraine des effets néfastes à long terme
3347-22-6;dithianon;16/12/2008;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
3347-22-6;dithianon;16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
3347-22-6;dithianon;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
03/10/2439;doguadine;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
03/10/2439;doguadine;16/12/2008;Irritant pour la peau, catégorie 2;H315;Provoque une irritation cutanée
03/10/2439;doguadine;16/12/2008;Irritation oculaire, catégorie 2;H319;Provoque une sévère irritation des yeux
03/10/2439;doguadine;16/12/2008;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
03/10/2439;doguadine;16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
155569-91-8;emamectine benzoate;11/03/2021;Toxicité spécifique pour certains organes cibles - Exposition unique, catégorie 1;H370;Risque avéré d'effets graves pour les organes
155569-91-8;emamectine benzoate;11/03/2021;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 1;H372;Risque avéré d'effet graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée
155569-91-8;emamectine benzoate;11/03/2021;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
155569-91-8;emamectine benzoate;11/03/2021;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
155569-91-8;emamectine benzoate;11/03/2021;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves
155569-91-8;emamectine benzoate;11/03/2021;Toxicité aiguë (par inhalation), catégorie 3;H331;Toxique par inhalation
155569-91-8;emamectine benzoate;11/03/2021;Toxicité aiguë (par voie cutanée), catégorie 3;H311;Toxique par contact cutané
155569-91-8;emamectine benzoate;11/03/2021;Toxicité aiguë (par voie orale), catégorie 3;H301;Toxique en cas d'ingestion
66230-04-4;esfenvalerate;11/03/2021;Toxicité aiguë (par voie orale), catégorie 3;H301;Toxique en cas d'ingestion
66230-04-4;esfenvalerate;11/03/2021;Toxicité spécifique pour certains organes cibles - Exposition unique, catégorie 1;H370;Risque avéré d'effets graves pour les organes
66230-04-4;esfenvalerate;11/03/2021;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée
66230-04-4;esfenvalerate;11/03/2021;Toxicité aiguë (par inhalation), catégorie 3;H331;Toxique par inhalation
66230-04-4;esfenvalerate;11/03/2021;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
66230-04-4;esfenvalerate;11/03/2021;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
66230-04-4;esfenvalerate;11/03/2021;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
16672-87-0;ethephon;05/06/2014;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
16672-87-0;ethephon;05/06/2014;Toxicité aiguë (par voie cutanée), catégorie 3;H311;Toxique par contact cutané
16672-87-0;ethephon;05/06/2014;Toxicité aiguë (par inhalation), catégorie 4;H332;Nocif par inhalation
16672-87-0;ethephon;05/06/2014;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme
16672-87-0;ethephon;05/06/2014;Corrosif pour la peau, catégorie 1C;H314;Provoque des brûlures de la peau et des lésions oculaires graves
26225-79-6;ethofumesate;19/05/2020;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
26225-79-6;ethofumesate;19/05/2020;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
80844-07-1;etofenprox;05/06/2014;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
80844-07-1;etofenprox;05/06/2014;Effet sur ou via la lactation, catégorie Lacta.;H362;Peut être nocif pour les bébés nourris au lait maternel
80844-07-1;etofenprox;05/06/2014;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
153233-91-1;etoxazole;16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
153233-91-1;etoxazole;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
8000-78-0 ou 8008-99-9;extrait d'ail;30/05/2023;Sensibilisation cutanée, catégorie 1B;H317;Peut provoquer une allergie cutanée
131807-57-3;famoxadone;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
131807-57-3;famoxadone;16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
131807-57-3;famoxadone;16/12/2008;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée
90989-74-5;Farine de sang (Blood meal);01/04/2021;Sans classement;Sans classement;Sans classement
120928-09-8;fenazaquin;16/12/2008;Toxicité aiguë (par voie orale), catégorie 3;H301;Toxique en cas d'ingestion
120928-09-8;fenazaquin;16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
120928-09-8;fenazaquin;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
120928-09-8;fenazaquin;16/12/2008;Toxicité aiguë (par inhalation), catégorie 4;H332;Nocif par inhalation
126833-17-8;fenhexamid;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme
71283-80-2;fenoxaprop-P-ethyl;24/07/2015;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée
71283-80-2;fenoxaprop-P-ethyl;24/07/2015;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
71283-80-2;fenoxaprop-P-ethyl;24/07/2015;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
71283-80-2;fenoxaprop-P-ethyl;24/07/2015;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
517875-34-2;fenpicoxamide;19/03/2019;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
517875-34-2;fenpicoxamide;19/03/2019;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
67306-00-7;fenpropidine;09/05/2023;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
67306-00-7;fenpropidine;09/05/2023;Irritant pour la peau, catégorie 2;H315;Provoque une irritation cutanée
67306-00-7;fenpropidine;09/05/2023;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves
67306-00-7;fenpropidine;09/05/2023;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
67306-00-7;fenpropidine;09/05/2023;Toxicité aiguë (par inhalation), catégorie 4;H332;Nocif par inhalation
67306-00-7;fenpropidine;09/05/2023;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
67306-00-7;fenpropidine;09/05/2023;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus
67306-00-7;fenpropidine;09/05/2023;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée
67306-00-7;fenpropidine;09/05/2023;Toxicité spécifique pour certains organes cibles - Exposition unique - Effets narcotiques, catégorie 3;H336;Peut provoquer somnolence ou des vertiges
67306-00-7;fenpropidine;09/05/2023;Toxicité spécifique pour certains organes cibles - Exposition unique - Irritation des voies respiratoires, catégorie 3;H335;Peut irriter les voies respiratoires
67306-00-7;fenpropidine;09/05/2023;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
473798-59-3;fenpyrazamine;04/05/2017;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
473798-59-3;fenpyrazamine;04/05/2017;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
134098-61-6;fenpyroximate;24/07/2015;Sensibilisation cutanée, catégorie 1B;H317;Peut provoquer une allergie cutanée
134098-61-6;fenpyroximate;24/07/2015;Toxicité aiguë (par voie orale), catégorie 3;H301;Toxique en cas d'ingestion
134098-61-6;fenpyroximate;24/07/2015;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
134098-61-6;fenpyroximate;24/07/2015;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
134098-61-6;fenpyroximate;24/07/2015;Toxicité aiguë (par inhalation), catégorie 2;H330;Mortel par inhalation
104040-78-0;flazasulfuron;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
104040-78-0;flazasulfuron;16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
158062-67-0;flonicamid;24/07/2015;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
145701-23-1;florasulam;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
145701-23-1;florasulam;16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
"	1390661-72-9";Florpyrauxifene-benzyl;13/10/2020;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
"	1390661-72-9";Florpyrauxifene-benzyl;13/10/2020;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
"	1390661-72-9";Florpyrauxifene-benzyl;13/10/2020;Sensibilisation cutanée, catégorie 1B;H317;Peut provoquer une allergie cutanée
79241-46-6;fluazifop P butyl;16/12/2008;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus
79241-46-6;fluazifop P butyl;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
79241-46-6;fluazifop P butyl;16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
79622-59-6;fluazinam;05/06/2014;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
79622-59-6;fluazinam;05/06/2014;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
79622-59-6;fluazinam;05/06/2014;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves
79622-59-6;fluazinam;05/06/2014;Sensibilisation cutanée, catégorie 1A;H317;Peut provoquer une allergie cutanée
79622-59-6;fluazinam;05/06/2014;Toxicité aiguë (par inhalation), catégorie 4;H332;Nocif par inhalation
79622-59-6;fluazinam;05/06/2014;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus
131341-86-1;fludioxonyl;04/10/2019;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
131341-86-1;fludioxonyl;04/10/2019;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
142459-58-3;flufenacet;10/08/2009;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
142459-58-3;flufenacet;10/08/2009;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
142459-58-3;flufenacet;10/08/2009;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée
142459-58-3;flufenacet;10/08/2009;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
142459-58-3;flufenacet;10/08/2009;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
103361-09-7;flumioxazine;11/03/2021;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
103361-09-7;flumioxazine;11/03/2021;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
103361-09-7;flumioxazine;11/03/2021;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus
239110-15-7 ;fluopicolide;16/02/2022;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus
658066-35-4;fluopyram;19/07/2016;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme
2699-79-8;fluorure de sulfuryle;;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
2699-79-8;fluorure de sulfuryle;;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée
2699-79-8;fluorure de sulfuryle;;Toxicité aiguë (par inhalation), catégorie 3;H331;Toxique par inhalation
361377-29-9;fluoxastrobine;;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
361377-29-9;fluoxastrobine;;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
361377-29-9;fluoxastrobine;;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer
61213-25-0;flurochloridone;19/05/2020;Toxicité pour la reproduction, catégorie 1B(FD);H360FD;Peut nuire à la fertilité. Peut nuire au foetus
61213-25-0;flurochloridone;19/05/2020;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
61213-25-0;flurochloridone;19/05/2020;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
61213-25-0;flurochloridone;19/05/2020;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion
61213-25-0;flurochloridone;19/05/2020;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
69377-81-7;fluroxypyr;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;H412;Nocif pour les organismes aquatiques, entraine des effets néfastes à long terme
81406-37-3;fluroxypyr : methylheptyl ester;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
81406-37-3;fluroxypyr : methylheptyl ester;16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
958647-10-4;Flutianil;04/10/2018;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
958647-10-4;Flutianil;04/10/2018;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
66332-96-5;flutolanil;;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme
907204-31-3;fluxapyroxad;19/05/2020;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
907204-31-3;fluxapyroxad;19/05/2020;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
907204-31-3;fluxapyroxad;19/05/2020;Effet sur ou via la lactation, catégorie Lacta.;H362;Peut être nocif pour les bébés nourris au lait maternel
133-07-3;folpel;10/08/2009;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer
133-07-3;folpel;10/08/2009;Toxicité aiguë (par inhalation), catégorie 4;H332;Nocif par inhalation
133-07-3;folpel;10/08/2009;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
133-07-3;folpel;10/08/2009;Irritation oculaire, catégorie 2;H319;Provoque une sévère irritation des yeux
133-07-3;folpel;10/08/2009;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
173159-57-4;foramsulfuron;19/10/2023;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
173159-57-4;foramsulfuron;19/10/2023;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
173159-57-4;foramsulfuron;19/10/2023;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer
68157-60-8;forchlorfenuron;10/08/2009;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer
68157-60-8;forchlorfenuron;10/08/2009;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme
23422-53-9;formetanate;16/12/2008;Toxicité aiguë (par voie orale), catégorie 2;H300;Mortel en cas d'ingestion
23422-53-9;formetanate;16/12/2008;Toxicité aiguë (par inhalation), catégorie 2;H330;Mortel par inhalation
23422-53-9;formetanate;16/12/2008;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
23422-53-9;formetanate;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
23422-53-9;formetanate;16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
39148-24-8;fosetyl-al;10/08/2009;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves
98886-44-3;fosthiazate;16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
98886-44-3;fosthiazate;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
98886-44-3;fosthiazate;16/12/2008;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
98886-44-3;fosthiazate;16/12/2008;Toxicité aiguë (par inhalation), catégorie 3;H331;Toxique par inhalation
98886-44-3;fosthiazate;16/12/2008;Toxicité aiguë (par voie cutanée), catégorie 4;H312;Nocif par contact cutané
98886-44-3;fosthiazate;16/12/2008;Toxicité aiguë (par voie orale), catégorie 3;H301;Toxique en cas d'ingestion
76703-62-3;gamma cyhalothrine;24/05/2011;Toxicité aiguë (par inhalation), catégorie 2;H330;Mortel par inhalation
76703-62-3;gamma cyhalothrine;24/05/2011;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 1;H372;Risque avéré d'effet graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée
76703-62-3;gamma cyhalothrine;24/05/2011;Toxicité aiguë (par voie orale), catégorie 3;H301;Toxique en cas d'ingestion
76703-62-3;gamma cyhalothrine;24/05/2011;Toxicité aiguë (par voie cutanée), catégorie 3;H311;Toxique par contact cutané
76703-62-3;gamma cyhalothrine;24/05/2011;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves
76703-62-3;gamma cyhalothrine;24/05/2011;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
8030-53-3;gibberelline A4 A7;27/10/2015;Sans classement;Sans classement;Sans classement
1071-83-6;glyphosate;16/12/2008;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves
1071-83-6;glyphosate;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme
98999-15-6;Graisses de mouton;04/04/2023;Sans classement;Sans classement;Sans classement
943831-98-9;halauxifen-methyl;22/03/2016;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
943831-98-9;halauxifen-methyl;22/03/2016;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
100784-20-1;halosulfuron-méthyl;04/10/2019;Toxicité pour la reproduction, catégorie 1B(D);H360D;Peut nuire au foetus
100784-20-1;halosulfuron-méthyl;04/10/2019;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
100784-20-1;halosulfuron-méthyl;04/10/2019;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
870721-81-6;heptamaloxyloglucan;17/03/2020;Sans classement;Sans classement;Sans classement
78587-05-0;hexythiazox;19/05/2020;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
