Numéro CAS;Nom SA;Valeur PNEC;Unité;Etude(s);Donnée de toxicité;Valeur donnée de toxicité;Unité donnée de toxicité;Facteur de sécurité
101200-48-0;tribenuron-methyl;0,47;ug/L;toxicité chez la plante aquatique;CE50;0,0047;mg/L;10
055335-06-3;triclopyr;1170;ug/L;toxicité aigüe chez le poisson;CL50;117;mg/L;100
64700-56-7;triclopyr butoxy ethyl ester;3,1;ug/L;toxicité aigüe chez le poisson;CL50;0,31;mg/L;100
141517-21-7;trifloxystrobine;0,2;ug/L;toxicité aigüe chez l'invertébré aquatique;CE50;0,02;mg/L;100
141517-21-7;trifloxystrobine;0,276;ug/L;toxicité chronique chez l'invertébré aquatique;NOEC;0,00276;mg/L;10
95266-40-3;trinexapac-ethyl;41;ug/L;toxicité chronique chez le poisson;NOEC;0,41;mg/L;10
131983-72-7;triticonazole;1;ug/L;toxicité chronique chez le poisson;NOEC;0,01;mg/L;10
142469-14-5;tritosulfuron;2,55;ug/L;toxicité chez la plante aquatique;CE50;0,0255;mg/L;10
142469-14-5;tritosulfuron;15,5;ug/L;toxicité chez la plante aquatique;HC5;46,5;ug/L;3
283159-90-0;valifenalate;28;ug/L;toxicité aigüe chez l'invertébré aquatique;CE50;2,8;mg/L;100
137-30-4;zirame;1;ug/L;toxicité chronique chez l'invertébré aquatique;NOEC;0,01;mg/L;10
156052-68-5;zoxamide;0,348;ug/L;toxicité chronique chez le poisson;NOEC;0,00348;mg/L;10
112-30-1;1-decanol;0,64;ug/L;toxicité chronique chez le poisson;NOEC;0,0064;mg/L;10
3100-04-7 ;1-methylcyclopropene;7,76;ug/L;toxicité aigüe chez l'invertébré aquatique;CE50;> 0,776;mg/L;100
571-58-4;1,4-dimethylnaphthalene;5,4;ug/L;toxicité aigüe chez l'invertébré aquatique;CE50;0,54;mg/L;100
94-75-7;2,4-D;34,6;ug/L;toxicité chez la plante aquatique;CE50;0,346;mg/L;10
94-75-7;2,4-D;89;ug/L;toxicité chez la plante aquatique;CE50;0,89;mg/L;10
1928-43-4;2,4-D ethylhexyl ester;23;ug/L;toxicité chez l'algue;CE50;0,23;mg/L;10
1214-39-7;6-benzyladenine;132;ug/L;toxicité chez la plante aquatique;CE50;1,32;mg/L;10
