Numero CAS;NOM SA;CLASSEMENT RÉFÉRENCE;CLASSEMENT DATE;CLASSEMENT CATÉGORIE DANGER;CLASSEMENT CODE H;CLASSEMENT MENTION DANGER;FACTEUR M VALEUR;FACTEUR M ORIGINE;FACTEUR M DATE
1918-00-9;dicamba;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion;;;
1918-00-9;dicamba;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;H412;Nocif pour les organismes aquatiques, entraine des effets néfastes à long terme;;;
15165-67-0;dichlorprop-P;Règlement (CE) N°1272/2008 (ATP 0);31/12/2008;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion;;;
15165-67-0;dichlorprop-P;Règlement (CE) N°1272/2008 (ATP 0);31/12/2008;Irritant pour la peau, catégorie 2;H315;Provoque une irritation cutanée;;;
15165-67-0;dichlorprop-P;Règlement (CE) N°1272/2008 (ATP 0);31/12/2008;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves;;;
15165-67-0;dichlorprop-P;Règlement (CE) N°1272/2008 (ATP 0);31/12/2008;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée;;;
51338-27-3;diclofop methyl;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée;;;
51338-27-3;diclofop methyl;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;1;ANSES;17/09/2013
51338-27-3;diclofop methyl;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion;;;
51338-27-3;diclofop methyl;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;1;ANSES;17/09/2013
119446-68-3;difenoconazole;Règlement (UE) N° 2024/197, 21ème adaptation au progrès technique, Règlement (CE) N° 1272/2008 (ATP 21);19/10/2023;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer;;;
119446-68-3;difenoconazole;Règlement (UE) N° 2024/197, 21ème adaptation au progrès technique, Règlement (CE) N° 1272/2008 (ATP 21);19/10/2023;Irritation oculaire, catégorie 2;H319;Provoque une sévère irritation des yeux;;;
119446-68-3;difenoconazole;Règlement (UE) N° 2024/197, 21ème adaptation au progrès technique, Règlement (CE) N° 1272/2008 (ATP 21);19/10/2023;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion;;;
119446-68-3;difenoconazole;Règlement (UE) N° 2024/197, 21ème adaptation au progrès technique, Règlement (CE) N° 1272/2008 (ATP 21);19/10/2023;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;10;UE;19/10/2023
119446-68-3;difenoconazole;Règlement (UE) N° 2024/197, 21ème adaptation au progrès technique, Règlement (CE) N° 1272/2008 (ATP 21);19/10/2023;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;10;UE;19/10/2023
83164-33-4;diflufenican;Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008);11/03/2021;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;10000;UE;11/03/2021
83164-33-4;diflufenican;Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008);11/03/2021;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;1000;UE;11/03/2021
50563-36-5;dimethachlore;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;10;ANSES;18/09/2012
50563-36-5;dimethachlore;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée;;;
50563-36-5;dimethachlore;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion;;;
50563-36-5;dimethachlore;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;10;ANSES;18/09/2012
163515-14-8;Dimethenamid-P;Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008);24/07/2015;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée;;;
163515-14-8;Dimethenamid-P;Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008);24/07/2015;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;10;UE;17/07/2012
163515-14-8;Dimethenamid-P;Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008);24/07/2015;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;10;UE;17/07/2012
163515-14-8;Dimethenamid-P;Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008);24/07/2015;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion;;;
110488-70-5;dimethomorphe;Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008);11/03/2021;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;;UE;11/03/2021
110488-70-5;dimethomorphe;Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008);11/03/2021;Toxicité pour la reproduction, catégorie 1B(F);H360F;Peut nuire à la fertilité;;;
149961-52-4;dimoxystrobine;Règlement (UE) N°2022/692  (18e ATP au Règlement 1272/2008);16/02/2022;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus;;;
149961-52-4;dimoxystrobine;Règlement (UE) N°2022/692  (18e ATP au Règlement 1272/2008);16/02/2022;Cancérogénicité, catégorie 2;H351;Susceptible de provoquer le cancer;;;
149961-52-4;dimoxystrobine;Règlement (UE) N°2022/692  (18e ATP au Règlement 1272/2008);16/02/2022;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;100;UE;10/08/2009
149961-52-4;dimoxystrobine;Règlement (UE) N°2022/692  (18e ATP au Règlement 1272/2008);16/02/2022;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;100;UE;10/08/2009
149961-52-4;dimoxystrobine;Règlement (UE) N°2022/692  (18e ATP au Règlement 1272/2008);16/02/2022;Toxicité aiguë (par inhalation), catégorie 4;H332;Nocif par inhalation;;;
13708-85-5 ou (130184-07-5 ou 16926-95-7);disodium phosphonate;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;15/07/2009;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;H412;Nocif pour les organismes aquatiques, entraine des effets néfastes à long terme;;;
3347-22-6;dithianon;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion;;;
3347-22-6;dithianon;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;10;ANSES;16/04/2013
3347-22-6;dithianon;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;1;ANSES;16/04/2013
2439-10-3 ;doguadine;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;;;
2439-10-3 ;doguadine;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Irritant pour la peau, catégorie 2;H315;Provoque une irritation cutanée;;;
2439-10-3 ;doguadine;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Irritation oculaire, catégorie 2;H319;Provoque une sévère irritation des yeux;;;
2439-10-3 ;doguadine;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion;;;
2439-10-3 ;doguadine;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;;;
155569-91-8;emamectine benzoate;Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008);11/03/2021;Toxicité spécifique pour certains organes cibles - Exposition unique, catégorie 1;H370;Risque avéré d'effets graves pour les organes;;;
155569-91-8;emamectine benzoate;Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008);11/03/2021;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 1;H372;Risque avéré d'effet graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;;;
155569-91-8;emamectine benzoate;Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008);11/03/2021;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;10000;UE;11/03/2021
155569-91-8;emamectine benzoate;Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008);11/03/2021;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;10000;UE;11/03/2021
155569-91-8;emamectine benzoate;Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008);11/03/2021;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves;;;
155569-91-8;emamectine benzoate;Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008);11/03/2021;Toxicité aiguë (par inhalation), catégorie 3;H331;Toxique par inhalation;;;
155569-91-8;emamectine benzoate;Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008);11/03/2021;Toxicité aiguë (par voie cutanée), catégorie 3;H311;Toxique par contact cutané;;;
155569-91-8;emamectine benzoate;Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008);11/03/2021;Toxicité aiguë (par voie orale), catégorie 3;H301;Toxique en cas d'ingestion;;;
66230-04-4;esfenvalerate;Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008);11/03/2021;Toxicité aiguë (par voie orale), catégorie 3;H301;Toxique en cas d'ingestion;;;
66230-04-4;esfenvalerate;Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008);11/03/2021;Toxicité spécifique pour certains organes cibles - Exposition unique, catégorie 1;H370;Risque avéré d'effets graves pour les organes;;;
66230-04-4;esfenvalerate;Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008);11/03/2021;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;;;
66230-04-4;esfenvalerate;Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008);11/03/2021;Toxicité aiguë (par inhalation), catégorie 3;H331;Toxique par inhalation;;;
66230-04-4;esfenvalerate;Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008);11/03/2021;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée;;;
66230-04-4;esfenvalerate;Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008);11/03/2021;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;10000;UE;11/03/2021
66230-04-4;esfenvalerate;Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008);11/03/2021;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;10000;UE;11/03/2021
16672-87-0;ethephon;Règlement (UE) N°605/2014 (6e ATP au Règlement 1272/2008);05/06/2014;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion;;;
16672-87-0;ethephon;Règlement (UE) N°605/2014 (6e ATP au Règlement 1272/2008);05/06/2014;Toxicité aiguë (par voie cutanée), catégorie 3;H311;Toxique par contact cutané;;;
16672-87-0;ethephon;Règlement (UE) N°605/2014 (6e ATP au Règlement 1272/2008);05/06/2014;Toxicité aiguë (par inhalation), catégorie 4;H332;Nocif par inhalation;;;
16672-87-0;ethephon;Règlement (UE) N°605/2014 (6e ATP au Règlement 1272/2008);05/06/2014;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;;;
16672-87-0;ethephon;Règlement (UE) N°605/2014 (6e ATP au Règlement 1272/2008);05/06/2014;Corrosif pour la peau, catégorie 1C;H314;Provoque des brûlures de la peau et des lésions oculaires graves;;;
26225-79-6;ethofumesate;Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008);19/05/2020;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;1;UE;19/05/2020
26225-79-6;ethofumesate;Règlement (UE) N°2020/1182 (15e ATP au Règlement 1272/2008);19/05/2020;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;1;UE;19/05/2020
80844-07-1;etofenprox;Règlement (UE) N°605/2014 (6e ATP au Règlement 1272/2008);05/06/2014;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;1000;UE;05/06/2014
80844-07-1;etofenprox;Règlement (UE) N°605/2014 (6e ATP au Règlement 1272/2008);05/06/2014;Effet sur ou via la lactation, catégorie Lacta.;H362;Peut être nocif pour les bébés nourris au lait maternel;;;
80844-07-1;etofenprox;Règlement (UE) N°605/2014 (6e ATP au Règlement 1272/2008);05/06/2014;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;100;UE;05/06/2014
153233-91-1;etoxazole;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;100;UE;05/02/2021
153233-91-1;etoxazole;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;;UE;05/02/2021
8000-78-0 ou 8008-99-9;extrait d'ail;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;30/05/2023;Sensibilisation cutanée, catégorie 1B;H317;Peut provoquer une allergie cutanée;;;
131807-57-3;famoxadone;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;100;ANSES;28/09/2021
131807-57-3;famoxadone;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;100;ANSES;28/09/2021
131807-57-3;famoxadone;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;;;
90989-74-5;Farine de sang (Blood meal);Classement adapté par ANSES selon les règles de traduction du règlement CLP;01/04/2021;Sans classement;Sans classement;Sans classement;;;
120928-09-8;fenazaquin;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Toxicité aiguë (par voie orale), catégorie 3;H301;Toxique en cas d'ingestion;;;
120928-09-8;fenazaquin;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;;;
120928-09-8;fenazaquin;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;;;
120928-09-8;fenazaquin;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Toxicité aiguë (par inhalation), catégorie 4;H332;Nocif par inhalation;;;
126833-17-8;fenhexamid;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 2;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;;;
71283-80-2;fenoxaprop-P-ethyl;Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008);24/07/2015;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;;;
71283-80-2;fenoxaprop-P-ethyl;Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008);24/07/2015;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée;;;
71283-80-2;fenoxaprop-P-ethyl;Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008);24/07/2015;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;1;ANSES;17/09/2013
71283-80-2;fenoxaprop-P-ethyl;Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008);24/07/2015;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;1;ANSES;17/09/2013
517875-34-2;fenpicoxamide;Classement adapté par l'ANSES selon les conclusions de l'EFSA;19/03/2019;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;100;ANSES;05/02/2019
517875-34-2;fenpicoxamide;Classement adapté par l'ANSES selon les conclusions de l'EFSA;19/03/2019;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;100;ANSES;05/02/2019
67306-00-7;fenpropidine;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;09/05/2023;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;100;ANSES;
67306-00-7;fenpropidine;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;09/05/2023;Irritant pour la peau, catégorie 2;H315;Provoque une irritation cutanée;;;
67306-00-7;fenpropidine;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;09/05/2023;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves;;;
67306-00-7;fenpropidine;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;09/05/2023;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée;;;
67306-00-7;fenpropidine;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;09/05/2023;Toxicité aiguë (par inhalation), catégorie 4;H332;Nocif par inhalation;;;
67306-00-7;fenpropidine;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;09/05/2023;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion;;;
67306-00-7;fenpropidine;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;09/05/2023;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus;;;
67306-00-7;fenpropidine;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;09/05/2023;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;;;
67306-00-7;fenpropidine;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;09/05/2023;Toxicité spécifique pour certains organes cibles - Exposition unique - Effets narcotiques, catégorie 3;H336;Peut provoquer somnolence ou des vertiges;;;
67306-00-7;fenpropidine;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;09/05/2023;Toxicité spécifique pour certains organes cibles - Exposition unique - Irritation des voies respiratoires, catégorie 3;H335;Peut irriter les voies respiratoires;;;
67306-00-7;fenpropidine;Classement adapté par l'ANSES selon les règles de traduction du règlement CLP;09/05/2023;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;1000;ANSES;
473798-59-3;fenpyrazamine;Règlement (UE) N°2017/776 (10e ATP au Règlement 1272/2008);04/05/2017;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;10;UE;04/05/2017
473798-59-3;fenpyrazamine;Règlement (UE) N°2017/776 (10e ATP au Règlement 1272/2008);04/05/2017;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;1;UE;04/05/2017
134098-61-6;fenpyroximate;Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008);24/07/2015;Sensibilisation cutanée, catégorie 1B;H317;Peut provoquer une allergie cutanée;;;
134098-61-6;fenpyroximate;Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008);24/07/2015;Toxicité aiguë (par voie orale), catégorie 3;H301;Toxique en cas d'ingestion;;;
134098-61-6;fenpyroximate;Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008);24/07/2015;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;1000;UE;24/07/2015
134098-61-6;fenpyroximate;Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008);24/07/2015;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;100;UE;24/07/2015
134098-61-6;fenpyroximate;Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008);24/07/2015;Toxicité aiguë (par inhalation), catégorie 2;H330;Mortel par inhalation;;;
104040-78-0;flazasulfuron;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;1000;ANSES;17/12/2013
104040-78-0;flazasulfuron;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;10000;ANSES;17/12/2013
158062-67-0;flonicamid;Règlement (UE) N°2015/1221 (7e ATP au Règlement 1272/2008);24/07/2015;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion;;;
145701-23-1;florasulam;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;100;ANSES;23/04/2013
145701-23-1;florasulam;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;100;ANSES;23/04/2013
"	1390661-72-9";Florpyrauxifene-benzyl;Classement adapté par l’ANSES selon les règles de traduction du règlement CLP;13/10/2020;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;1000;ANSES;02/05/2023
"	1390661-72-9";Florpyrauxifene-benzyl;Classement adapté par l’ANSES selon les règles de traduction du règlement CLP;13/10/2020;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;10000;ANSES;02/05/2023
"	1390661-72-9";Florpyrauxifene-benzyl;Classement adapté par l’ANSES selon les règles de traduction du règlement CLP;13/10/2020;Sensibilisation cutanée, catégorie 1B;H317;Peut provoquer une allergie cutanée;;;
79241-46-6;fluazifop P butyl;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus;;;
79241-46-6;fluazifop P butyl;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;1;ANSES;
79241-46-6;fluazifop P butyl;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;1;ANSES;
79622-59-6;fluazinam;Règlement (UE) N°605/2014 (6e ATP au Règlement 1272/2008);05/06/2014;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;10;UE;05/06/2014
79622-59-6;fluazinam;Règlement (UE) N°605/2014 (6e ATP au Règlement 1272/2008);05/06/2014;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;10;UE;05/06/2014
79622-59-6;fluazinam;Règlement (UE) N°605/2014 (6e ATP au Règlement 1272/2008);05/06/2014;Lésions oculaires graves, catégorie 1;H318;Provoque des lésions oculaires graves;;;
79622-59-6;fluazinam;Règlement (UE) N°605/2014 (6e ATP au Règlement 1272/2008);05/06/2014;Sensibilisation cutanée, catégorie 1A;H317;Peut provoquer une allergie cutanée;;;
79622-59-6;fluazinam;Règlement (UE) N°605/2014 (6e ATP au Règlement 1272/2008);05/06/2014;Toxicité aiguë (par inhalation), catégorie 4;H332;Nocif par inhalation;;;
79622-59-6;fluazinam;Règlement (UE) N°605/2014 (6e ATP au Règlement 1272/2008);05/06/2014;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus;;;
131341-86-1;fludioxonyl;Règlement (UE) N°2020/217 (14e ATP au Règlement 1272/2008);04/10/2019;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;10;UE;05/12/2017
131341-86-1;fludioxonyl;Règlement (UE) N°2020/217 (14e ATP au Règlement 1272/2008);04/10/2019;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;1;UE;05/12/2017
142459-58-3;flufenacet;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;100;ANSES;19/07/2013
142459-58-3;flufenacet;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;100;ANSES;19/07/2013
142459-58-3;flufenacet;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;;;
142459-58-3;flufenacet;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Toxicité aiguë (par voie orale), catégorie 4;H302;Nocif en cas d'ingestion;;;
142459-58-3;flufenacet;Règlement (UE) N°790/2009 (1e ATP au Règlement 1272/2008);10/08/2009;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée;;;
103361-09-7;flumioxazine;Règlement (UE) N°2021/849 (17e ATP au Règlement 1272/2008);11/03/2021;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;1000;UE;11/03/2021
